7388; 2720; 17340; -3776; 4001; -6791; -1903; 
8656; 2236; 16180; -3776; 390; -8004; 307; 
10176; 2200; 14628; -3776; 1091; -7720; 43; 
11596; 2292; 13856; -3808; -191; -6164; -194; 
12688; 2204; 12904; -3808; -53; -6587; -368; 
13072; 2460; 11648; -3808; 2115; -5660; -1485; 
14480; 2484; 10880; -3776; 736; -6518; 461; 
14828; 2536; 9336; -3792; 450; -5593; -163; 
15284; 2148; 8148; -3792; 917; -4921; 610; 
15876; 1084; 6760; -3808; -1583; -5365; 3191; 
16016; 1584; 5864; -3760; 814; -4099; 1069; 
16456; 468; 5256; -3824; 398; -3313; -132; 
15980; 924; 4824; -3808; -1170; -1457; -161; 
16484; 1148; 5108; -3824; -2451; -1029; 320; 
16348; 1148; 4076; -3776; 1040; -1694; 56; 
16976; 1236; 3472; -3792; 2064; -2087; -318; 
16880; 668; 3152; -3792; 31; -3985; -1491; 
16364; 916; 2084; -3808; -2233; -2369; -4300; 
16452; 2032; 1972; -3824; 610; 381; 553; 
16964; 2084; 1964; -3776; -211; -443; -143; 
16892; 1100; 1608; -3792; 1043; -3008; 1210; 
16896; 964; 816; -3776; 1474; -3669; -316; 
16648; 140; 468; -3792; 1139; -4269; 1263; 
17000; 1084; -816; -3808; 589; -5565; 1550; 
16036; 516; -2124; -3776; 327; -3827; 100; 
15868; 976; -2852; -3792; -1837; -164; -1347; 
20204; 5148; 1456; -3776; 328; -805; -3863; 
16072; 524; -2916; -3824; 1490; -944; -2463; 
16284; 1488; -3172; -3760; -1458; -3641; 842; 
16332; 464; -3644; -3776; -939; -5127; 2766; 
15824; 448; -5284; -3840; -1839; -4559; 1938; 
15172; 608; -5900; -3776; -3105; -5527; 2284; 
14552; 148; -6976; -3776; -270; -4942; 2077; 
13512; 244; -7720; -3776; 617; -4087; -106; 
12804; 176; -8728; -3792; 320; -5466; 945; 
12240; 60; -9676; -3776; 695; -4847; 827; 
11312; -312; -10568; -3792; 1548; -5222; -790; 
10160; -104; -10760; -3808; -627; -5021; -65; 
9952; -208; -12092; -3808; -1705; -3741; -227; 
8656; 112; -12496; -3744; 443; -3318; 26; 
8760; 452; -12748; -3824; 1635; -2047; -1020; 
7876; -292; -13248; -3776; 763; -3006; -968; 
7008; -488; -13712; -3776; 346; -2818; -1958; 
6464; -212; -13984; -3808; 2; -2539; -1497; 
6120; -116; -14028; -3792; 462; -803; -587; 
5640; 60; -13940; -3792; 1131; 462; 177; 
6244; -292; -13968; -3808; 1337; 286; 1309; 
6300; -368; -13740; -3808; 2467; 1091; 1711; 
6320; -1308; -13544; -3792; 2818; 1860; 1948; 
6856; -2552; -13480; -3776; 3714; 1601; 2849; 
7152; -3324; -12844; -3792; 3733; 1259; 2002; 
7152; -4536; -12688; -3776; 4321; 708; 2763; 
7016; -5928; -12484; -3792; 4846; -526; 1386; 
6392; -6728; -11896; -3776; 5199; -336; 1705; 
6324; -8224; -11808; -3792; 4048; -1062; 1202; 
